COD;CODMUN7;Estado;ano;Nome;CV_SCR1 (1 ano);CV_SCR2 (15 meses);Poprural;PopUrb;RDPC;PEA;PEA_A;IDHM;IDHM_E;IDHM_L;IDHM_R;T_ANALF18M;T_MED18M;T_SUPER25M;T_AGUA;T_BANAGUA;T_DENS;T_LIXO;T_LUZ;AGUA_ESGOTO;POPDOMCHEFMULHERES;DENSDEMOG2010;PERC_NV_7CPN;CoberturaAB
110001;1100015;Rondonia;2016;Alta Floresta D'Oeste;96,45;92,08;42,73;57,27;476,99;10611;43,5;0,641;0,526;0,763;0,657;13;23,19;5,51;93,69;80,2;22,58;94,05;93,98;9,31;26,92;3,45;67,18;80,93
110002;1100023;Rondonia;2016;Ariquemes;98,92;89,52;15,3;84,7;689,95;45300;50,14;0,702;0,6;0,806;0,716;8,53;34,58;8,13;98,54;85,35;27,15;96,72;98,58;11,4;32,63;20,41;72,62;61,92
110003;1100031;Rondonia;2016;Cabixi;109,64;77,11;57,34;42,66;457,17;2869;45,45;0,65;0,559;0,757;0,65;14,73;23,89;4,93;95,49;91,63;19,93;99,14;96,36;3,31;16,42;4,8;65,75;100
110004;1100049;Rondonia;2016;Cacoal;99,18;82,32;21,19;78,81;738,06;40083;51,01;0,718;0,62;0,821;0,727;8,94;31,03;8,71;97,96;93,44;20,5;98,17;98,89;1,85;31,73;20,72;74,59;71,19
110005;1100056;Rondonia;2016;Cerejeiras;99,28;85,51;15,33;84,67;577,18;8699;51,08;0,692;0,602;0,799;0,688;11,17;27,79;7,09;97,53;86,87;16,66;91,89;98,85;5,34;39,97;6,12;76,81;95,91
110006;1100064;Rondonia;2016;Colorado do Oeste;134,94;100,8;26,54;73,46;535,41;8851;47,61;0,685;0,584;0,814;0,676;13,41;28,61;7,88;95,54;93,89;14,73;92,79;97,76;2,99;31,36;12,81;81,17;91,67
110007;1100072;Rondonia;2016;Corumbiara;119,82;110,81;70,51;29,49;402,15;4251;48,4;0,613;0,473;0,774;0,63;13,55;14,82;4,52;93,24;86,43;14,46;90,19;97,81;6,31;16,46;2,87;69,06;100
110008;1100080;Rondonia;2016;Costa Marques;122,69;113,03;45,19;54,81;370,77;6266;45,81;0,611;0,493;0,751;0,616;9,39;21,1;4,98;95,67;54,32;36,18;79,35;90,13;36,41;31,36;2,74;62,44;65,4
110009;1100098;Rondonia;2016;Espigao D'Oeste;89,07;92,59;28,26;71,74;590,8;15107;52,58;0,672;0,536;0,819;0,691;12,18;21,77;5,72;93,7;84,71;19,97;91,07;96,7;7,66;33,4;6,36;63,58;74,57
110010;1100106;Rondonia;2016;Guajara Mirim;119,02;70,31;15,48;84,52;494,69;16920;40,62;0,657;0,519;0,823;0,663;8,7;29,86;7,06;93,26;49,32;43,4;90,41;97,71;36,84;38,35;1,68;35,29;81,38
110011;1100114;Rondonia;2016;Jaru;100;81,7;32,47;67,53;575,14;24774;47,64;0,689;0,577;0,825;0,687;11,49;27,45;6,94;97,09;82,81;19,09;95,04;99,4;15,11;34,64;17,66;73,85;69,49
110012;1100122;Rondonia;2016;Ji Parana;103,88;89,13;10,08;89,92;743,35;60324;51,73;0,714;0,617;0,81;0,728;8,38;36,2;8,73;97,81;89,31;23,3;95,36;99,35;5,87;35,04;16,91;69,74;80,97
110013;1100130;Rondonia;2016;Machadinho D'Oeste;114,07;111,51;48,06;51,94;401,42;14955;48,03;0,596;0,446;0,755;0,629;12,85;16,97;3,72;92,56;69,34;28,87;91,21;88,1;17,19;28,21;3,66;72,86;82,33
110014;1100148;Rondonia;2016;Nova Brasilandia D'Oeste;95,28;87,01;57,83;42,17;499,59;10188;51,26;0,643;0,524;0,763;0,664;12,31;21,48;4,76;94,07;74,6;20,31;94,84;94,95;9,6;20,39;11,67;60,51;79,89
110015;1100155;Rondonia;2016;Ouro Preto do Oeste;78,42;63,82;25,7;74,3;576,51;19251;50,76;0,682;0,569;0,812;0,687;11,18;26,8;6,2;97,8;91,58;17,02;96,79;99,13;5,61;32,18;19,25;73,02;89,04
110018;1100189;Rondonia;2016;Pimenta Bueno;108,22;97,95;13,02;86,98;734,76;18348;54,25;0,71;0,613;0,803;0,726;9,04;32,32;8,07;97,21;91,07;21,55;97,98;99;4,7;31,16;5,42;70,22;81,57
110020;1100205;Rondonia;2016;Porto Velho;115,36;95,76;8,82;91,18;929,19;215855;50,37;0,736;0,638;0,819;0,764;5,43;44,44;12,21;92,87;72,14;36,73;95,67;98,2;17,76;39,57;12,57;51,12;64,58
110025;1100254;Rondonia;2016;Presidente Madici;126,46;128,79;40,4;59,6;520,2;11553;51,76;0,664;0,55;0,792;0,671;13,23;22,56;5,06;93,77;85,3;17,7;91,68;99,15;9,63;29,14;12,69;68,84;100
110026;1100262;Rondonia;2016;Rio Crespo;122,22;100;67,91;32,09;420,61;1370;41,31;0,643;0,513;0,813;0,637;14,36;22,57;3,58;97,99;83,94;27,09;95,82;96,42;8,15;30,23;1,93;80;100
110028;1100288;Rondonia;2016;Rolim de Moura;108,43;97,48;18,2;81,8;657,65;25383;50,12;0,7;0,598;0,808;0,709;9,74;31,85;8,47;97,4;93,72;20,06;98,05;99,24;4,5;31,33;34,74;68,19;85,08
110029;1100296;Rondonia;2016;Santa Luzia D'Oeste;111,01;90,83;49,08;50,92;476,08;4521;50,88;0,67;0,564;0,812;0,657;14,13;24,97;5,42;93,08;87,69;15,24;78,87;99,21;8,09;23,15;7,42;78,95;100
110030;1100304;Rondonia;2016;Vilhena;104,75;97,76;5,23;94,77;768,98;41211;54,08;0,731;0,659;0,808;0,734;6,52;37,88;10,6;98,16;97,28;21,21;98,01;98,29;1,55;36,25;6,62;71,97;93,95
110032;1100320;Rondonia;2016;Sao Miguel do Guapora;114,33;109,12;61,2;38,8;440,6;10257;46,99;0,646;0,537;0,781;0,644;11,84;20,46;3,86;97,43;77,44;24,35;98,52;96,7;9,43;26,09;2,93;72,11;79,6
110033;1100338;Rondonia;2016;Nova Mamora;104,5;118,75;42,04;57,96;377,34;10418;46,21;0,587;0,424;0,769;0,619;14,22;15,23;3,49;93,81;57,14;31,45;78,14;91,43;31,57;26,56;2,24;54,26;75
110034;1100346;Rondonia;2016;Alvorada D'Oeste;165,82;141,33;47,64;52,36;469,26;7603;45,11;0,643;0,534;0,763;0,654;14,11;21,46;5,43;94,31;80,76;17,85;95,35;98,06;7,37;22,38;5,56;64,46;60,66
110037;1100379;Rondonia;2016;Alto Alegre dos Parecis;156,08;127,03;71,47;28,53;341,22;6148;47,97;0,592;0,443;0,777;0,603;14,86;15,75;3,14;93,59;77,53;24,2;92,79;91,11;15,73;21,49;3,24;77,98;99
110040;1100403;Rondonia;2016;Alto Paraiso;123,97;36,78;52,13;47,87;498,49;9019;52,63;0,625;0,457;0,804;0,664;12,83;17,25;3,02;95,29;72,84;21,88;87,49;97,06;15,58;25,4;6,46;79,09;85,35
110045;1100452;Rondonia;2016;Buritis;127,71;116,53;44,04;55,96;458,05;16944;52,32;0,616;0,479;0,751;0,65;10,67;20,43;4,03;90,12;77,33;24,71;96,4;94,44;13,51;26,67;9,92;68,75;81,66
110050;1100502;Rondonia;2016;Novo Horizonte do Oeste;109,17;80,73;83,08;16,92;346,38;4806;46,93;0,634;0,527;0,799;0,606;15,68;19,77;4,25;92,66;86,25;22,51;97,77;98,86;8,4;17,89;12,14;74,74;100
110060;1100601;Rondonia;2016;Cacaulandia;90,28;69,44;63,93;36,07;499,93;2990;52,13;0,646;0,506;0,801;0,664;14,34;18,73;3,59;93,68;74,25;26,48;96,1;94,16;10,75;26,4;2,92;76,12;100
110070;1100700;Rondonia;2016;Campo Novo de Rondonia;61,69;45,45;73,38;26,62;507,69;5684;44,88;0,593;0,404;0,772;0,667;13,46;12,15;2,95;91,75;60,87;26,32;90,17;84,79;16,2;31,22;3,68;63,58;97,05
110080;1100809;Rondonia;2016;Candeias do Jamari;147,3;107,3;34,85;65,15;463,63;8824;44,61;0,649;0,512;0,819;0,652;11,93;25,48;3,94;95,88;74,32;40,29;76,96;95,28;16,08;32,03;2,89;51,61;98,12
110090;1100908;Rondonia;2016;Castanheiras;111,76;96,08;76,62;23,38;455,53;1771;49,54;0,658;0,547;0,803;0,65;15,6;21,36;4,06;95,22;87,36;20,52;90,07;97,44;5,47;23,32;4;76,36;100
